student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
STU110,11.3,95,Yes,46,Pass
STU111,16.7,70,No,63,Pass
STU112,16.5,64,Yes,66,Pass
STU113,19.7,94,No,44,Pass
STU114,10.2,95,Yes,84,Pass
STU115,10.9,70,Yes,35,Fail
STU116,18.1,61,No,63,Pass
STU117,5.2,99,Yes,41,Fail
STU118,12.0,62,Yes,94,Pass
STU119,14.0,90,Yes,91,Pass
STU120,13.0,87,Yes,92,Pass
STU121,18.1,85,Yes,66,Pass
STU122,17.1,72,No,97,Pass
STU123,13.3,72,Yes,71,Pass
STU124,6.2,76,Yes,45,Fail
STU125,4.5,69,Yes,54,Fail
STU126,14.7,59,Yes,77,Pass
STU127,11.8,81,Yes,88,Pass
STU128,9.0,92,No,37,Fail
STU129,17.4,91,Yes,35,Pass
STU130,19.0,74,No,88,Pass
STU131,11.7,89,No,63,Pass
STU132,10.8,72,Yes,38,Fail
STU133,9.0,97,No,86,Pass
STU134,15.0,84,No,38,Pass
STU135,18.3,92,Yes,38,Pass
STU136,3.5,82,Yes,94,Pass
STU137,5.3,71,Yes,62,Fail
STU138,10.2,76,No,83,Pass
STU139,7.0,81,Yes,45,Fail
STU140,10.5,89,Yes,79,Pass
STU141,6.0,59,No,40,Fail
STU142,15.6,70,Yes,37,Pass
STU143,13.2,70,Yes,49,Pass
STU144,12.2,68,Yes,67,Pass
STU145,15.8,65,Yes,49,Pass
STU146,16.0,65,No,48,Pass
STU147,12.4,74,Yes,83,Pass
STU148,9.1,100,Yes,66,Pass
STU149,3.8,74,No,50,Fail
STU150,16.3,91,No,79,Pass
STU151,11.6,97,Yes,78,Pass
STU152,2.2,81,No,48,Fail
STU153,9.8,78,Yes,93,Pass
STU154,14.7,82,Yes,69,Pass
STU155,13.1,89,No,94,Pass
STU156,9.8,92,Yes,66,Pass
STU157,17.0,60,Yes,92,Pass
STU158,6.4,84,Yes,83,Pass
STU159,8.1,86,No,58,Fail
STU160,10.8,77,No,78,Pass
STU161,7.0,93,No,70,Pass
STU162,12.0,88,No,45,Pass
STU163,6.3,81,Yes,65,Pass
STU164,14.4,96,No,92,Pass
STU165,16.3,60,Yes,86,Pass
STU166,14.5,74,No,82,Pass
STU167,10.5,88,Yes,77,Pass
STU168,8.3,84,Yes,67,Pass
STU169,6.1,67,Yes,58,Fail
STU170,5.4,85,Yes,71,Pass
STU171,19.6,67,Yes,81,Pass
STU172,5.2,55,No,51,Fail
STU173,6.9,58,Yes,51,Fail
STU174,13.5,86,Yes,36,Pass
STU175,12.3,85,Yes,78,Pass
STU176,5.3,58,Yes,96,Pass
STU177,4.1,59,Yes,44,Fail
STU178,12.4,98,Yes,54,Pass
STU179,16.6,74,Yes,66,Pass
STU180,4.1,81,Yes,63,Fail
STU181,16.0,79,Yes,91,Pass
STU182,7.4,92,No,74,Pass
STU183,12.2,58,Yes,47,Fail
STU184,19.1,68,Yes,68,Pass
STU185,13.9,65,Yes,44,Pass
STU186,4.8,81,Yes,95,Pass
STU187,7.2,69,Yes,71,Pass
STU188,14.7,84,Yes,64,Pass
STU189,18.6,95,Yes,60,Pass
STU190,9.7,89,Yes,54,Pass
STU191,18.4,64,Yes,56,Pass
STU192,16.3,93,No,71,Pass
STU193,9.9,84,No,86,Pass
STU194,19.0,87,Yes,91,Pass
STU195,3.4,57,No,76,Fail
STU196,12.9,56,Yes,37,Fail
STU197,20.0,98,No,40,Pass
STU198,15.7,66,Yes,91,Pass
STU199,18.5,66,No,90,Pass
STU200,13.4,86,No,95,Pass
